//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  	  EffectType     EffectSize   ColorSide
//Corona
  6345        32113         05            0             0.88     0.60    0.29   	  3.5     	   	 0.4          0.3
//Lado Izquierdo
  6345        32113         16            0             0.63     0.11    0.11   	  3.5     	   	 0.4          0.3
  6345        32113         21            0             0.63     0.11    0.11   	  3.5     	   	 0.4          0.3
  6345        32113         31            0             1.0      1.0      1.0   	  3.5     	   	 0.4          0.3
  6345        32113         32            0             1.0      1.0      1.0   	  3.5     	   	 0.4          0.3
//Lado Derecho
  6345        32113         49            0             0.63     0.11    0.11   	  3.5     	   	 0.4          0.3
  6345        32113         54            0             0.63     0.11    0.11   	  3.5     	   	 0.4          0.3
  6345        32113         65            0             1.0      1.0      1.0   	  3.5     	   	 0.4          0.3
  6345        32113         71            0             1.0      1.0      1.0   	  3.5     	   	 0.4          0.3
end
