//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  	  EffectType     EffectSize   ColorSide
  100         32387         02            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         03            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         04            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         05            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         06            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         19            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         20            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         22            0             0.19     0.61     0.91   	  0.0            -1.0         0.0
  100         32387         24            0             0.19     0.61     0.91   	  0.0            -1.0         0.0

  100         32390         72            0             0.19     0.61     0.91   	  0.9     		 9.0          0.5
  100         32391         73            0             0.19     0.61     0.91   	  0.9     		 9.0          0.5
end
