//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
  2660        32002         01            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         02            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         03            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         04            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         05            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         06            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         07            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         08            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         09            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         10            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         11            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         12            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         13            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         14            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         15            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         16            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         17            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         18            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         19            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         20            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         21            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         22            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         23            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         24            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         25            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         26            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         27            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         28            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         29            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         30            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         31            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         32            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         33            0             0.19     0.61     0.91     0.3         0.0         0.0
  2660        32002         34            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         35            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         36            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         37            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         38            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         39            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         40            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         41            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         42            0             0.19     0.61     0.91     0.8         0.0         0.0
  2660        32002         43            0             0.19     0.61     0.91     0.8         0.0         0.0
end
