//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   		ColorG   		ColorB   		ColorSize   		ColorMain   		ColorSide
  6346        32002         02            0             255  			255 			255     		0.5         		0.0         		0.0
  6346        32002         04            0             255  			255 			255     		0.5         		0.0         		0.0
  6346        32002         05            0             255  			255 			255     		0.5         		0.0         		0.0
  6346        32002         06            0             255  			255 			255     		0.5         		0.0         		0.0
  6346        32002         07            0             255  			255 			255     		0.5         		0.0         		0.0
  6346        32002         08            0             255  			255 			255     		0.5         		0.0         		0.0
  6346        32002         12            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         14            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         15            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         16            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         17            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         18            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         19            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         20            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         21            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         25            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         26            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         27            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         30            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         32            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         33            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         34            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         35            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         36            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         39            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         40            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         41            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         42            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         43            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         44            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         45            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         48            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         50            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         51            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         52            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         53            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         54            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         55            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         56            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         57            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         61            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         62            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         63            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         66            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         68            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         69            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         70            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         71            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         72            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         73            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         74            0             255  			255 			255     		1.5         		0.0         		0.0
  6346        32002         75            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         76            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         77            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         78            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         79            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         80            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         81            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         82            0             255  			255 			255     		1.1         		0.0         		0.0
  6346        32002         83            0             255  			255 			255     		1.1         		0.0         		0.0
end
