//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  	  EffectType     EffectSize   ColorSide
  6345        32387        07             0             1.0      1.0      1.0   	  0.0            -1.0         0.0
  6345        32387        08             0             1.0      1.0      1.0   	  0.0            -1.0         0.0
  6345        32387        11             0             1.0      1.0      1.0   	  0.0            -1.0         0.0
  6345        32387        25             0             1.0      1.0      1.0   	  0.0            -1.0         0.0
  6345        32387        26             0             1.0      1.0      1.0   	  0.0            -1.0         0.0
  6345        32387        29             0             1.0      1.0      1.0   	  0.0            -1.0         0.0

  6345        32113		   07             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   09             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   11             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   13             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   25             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   27             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   29             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
  6345        32113		   31             0             1.0      1.0      1.0      	  3.5     		 0.4          0.3  
end
