/////////////////////////////CUSTOM EFFECTS PARA LANCE FECTOS BY UNNAMEDSK//////////////////////
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////

RGB:	120	120	120

EFECTOS ESTATICOS.

INDEX			32380 		0 		 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		1 		 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		2 		 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		3 		 				0 			0.47		0.47		0.47	 	0.5		0.0		0.0
INDEX			32380 		4 		 				0 			0.47		0.47		0.47	 	0.5		0.0		0.0
INDEX			32380 		5 		 				0 			0.47		0.47		0.47	 	0.5		0.0		0.0
INDEX			32380 		6 		 				0 			0.47		0.47		0.47	 	0.5		0.0		0.0
INDEX			32380 		7 		 				0 			0.47		0.47		0.47	 	0.4		0.0		0.0
INDEX			32380 		8 		 				0 			0.47		0.47		0.47	 	0.4		0.0		0.0
INDEX			32380 		9 		 				0 			0.47		0.47		0.47	 	0.4		0.0		0.0
INDEX			32380 		10	 				0 			0.47		0.47		0.47	 	0.4		0.0		0.0
INDEX			32380 		11	 				0 			0.47		0.47		0.47	 	0.4		0.0		0.0
INDEX			32380 		12	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		13	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		14	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		15	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		16	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		17	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		18	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		19	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		20	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
INDEX			32380 		21	 				0 			0.47		0.47		0.47	 	0.3		0.0		0.0
