INDEX 	32002 	5 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX 	32002 	6 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	9 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX 	32002 	10 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	11 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	12 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	13 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	14 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	15 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	16 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	17 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	18 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	19 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
INDEX	32002 	20 	0 	1.51 	0.31 	0.35 	1.2 	0.0 	0.0
